ID,NAME,CALORIE,FAT,GLUTEN,PROTEIN,PRICE
502,Almonds,579,4.4,No,21.2,1.5
503,Cheese,402,19.0,No,25.0,2.5
504,Salmon,208,3.1,No,20.4,5.0
505,Peanut Butter,588,10.0,No,25.0,3.5
506,Avocado,160,2.1,No,2.0,1.75
507,Bread,265,0.7,Yes,9.0,1.2
508,Peanut Butter,588,10.0,No,25.0,3.5
509,Cheese,402,19.0,No,25.0,2.5
510,Milk,42,1.0,No,3.4,0.9
511,Lettuce,15,0.0,No,1.4,0.7
512,Salmon,208,3.1,No,20.4,5.0
513,Pasta,158,0.3,Yes,5.8,1.5
514,Almonds,579,4.4,No,21.2,1.5
515,Beef,250,5.0,No,26.0,4.0
516,Avocado,160,2.1,No,2.0,1.75
517,Bread,265,0.7,Yes,9.0,1.2
518,Lettuce,15,0.0,No,1.4,0.7
519,Bread,265,0.7,Yes,9.0,1.2
520,Peanut Butter,588,10.0,No,25.0,3.5
521,Banana,89,0.1,No,1.1,0.4
522,Spinach,23,0.0,No,2.9,0.6
523,Potato,77,0.0,No,2.0,0.8
524,Salmon,208,3.1,No,20.4,5.0
525,Tomato,18,0.0,No,0.9,0.35
526,Carrot,41,0.0,No,0.9,0.3
527,Apple,52,0.0,No,0.3,0.5
528,Cheese,402,19.0,No,25.0,2.5
529,Salmon,208,3.1,No,20.4,5.0
530,Beef,250,5.0,No,26.0,4.0
531,Bread,265,0.7,Yes,9.0,1.2
532,Potato,77,0.0,No,2.0,0.8
533,Peanut Butter,588,10.0,No,25.0,3.5
534,Bread,265,0.7,Yes,9.0,1.2
535,Carrot,41,0.0,No,0.9,0.3
536,Almonds,579,4.4,No,21.2,1.5
537,Lettuce,15,0.0,No,1.4,0.7
538,Chicken,165,1.0,No,31.0,3.0
539,Peanut Butter,588,10.0,No,25.0,3.5
540,Rice,130,0.2,No,2.7,1.1
541,Cheese,402,19.0,No,25.0,2.5
542,Tomato,18,0.0,No,0.9,0.35
543,Beef,250,5.0,No,26.0,4.0
544,Tomato,18,0.0,No,0.9,0.35
545,Chicken,165,1.0,No,31.0,3.0
546,Avocado,160,2.1,No,2.0,1.75
547,Chicken,165,1.0,No,31.0,3.0
548,Strawberry,32,0.0,No,0.7,0.9
549,Pasta,158,0.3,Yes,5.8,1.5
550,Salmon,208,3.1,No,20.4,5.0
551,Rice,130,0.2,No,2.7,1.1
552,Chicken,165,1.0,No,31.0,3.0
553,Milk,42,1.0,No,3.4,0.9
554,Banana,89,0.1,No,1.1,0.4
555,Milk,42,1.0,No,3.4,0.9
556,Potato,77,0.0,No,2.0,0.8
557,Milk,42,1.0,No,3.4,0.9
558,Bread,265,0.7,Yes,9.0,1.2
559,Lettuce,15,0.0,No,1.4,0.7
560,Strawberry,32,0.0,No,0.7,0.9
561,Cheese,402,19.0,No,25.0,2.5
562,Milk,42,1.0,No,3.4,0.9
563,Beef,250,5.0,No,26.0,4.0
564,Banana,89,0.1,No,1.1,0.4
565,Lettuce,15,0.0,No,1.4,0.7
566,Cheese,402,19.0,No,25.0,2.5
567,Potato,77,0.0,No,2.0,0.8
568,Carrot,41,0.0,No,0.9,0.3
569,Rice,130,0.2,No,2.7,1.1
570,Peanut Butter,588,10.0,No,25.0,3.5
571,Carrot,41,0.0,No,0.9,0.3
572,Milk,42,1.0,No,3.4,0.9
573,Bread,265,0.7,Yes,9.0,1.2
574,Pasta,158,0.3,Yes,5.8,1.5
575,Salmon,208,3.1,No,20.4,5.0
576,Banana,89,0.1,No,1.1,0.4
577,Apple,52,0.0,No,0.3,0.5
578,Potato,77,0.0,No,2.0,0.8
579,Egg,155,1.6,No,13.0,0.2
580,Lettuce,15,0.0,No,1.4,0.7
581,Milk,42,1.0,No,3.4,0.9
582,Avocado,160,2.1,No,2.0,1.75
583,Bread,265,0.7,Yes,9.0,1.2
584,Tomato,18,0.0,No,0.9,0.35
585,Milk,42,1.0,No,3.4,0.9
586,Lettuce,15,0.0,No,1.4,0.7
587,Egg,155,1.6,No,13.0,0.2
588,Beef,250,5.0,No,26.0,4.0
589,Beef,250,5.0,No,26.0,4.0
590,Avocado,160,2.1,No,2.0,1.75
591,Potato,77,0.0,No,2.0,0.8
592,Milk,42,1.0,No,3.4,0.9
593,Avocado,160,2.1,No,2.0,1.75
594,Avocado,160,2.1,No,2.0,1.75
595,Cheese,402,19.0,No,25.0,2.5
596,Chicken,165,1.0,No,31.0,3.0
597,Cheese,402,19.0,No,25.0,2.5
598,Milk,42,1.0,No,3.4,0.9
599,Apple,52,0.0,No,0.3,0.5
600,Lettuce,15,0.0,No,1.4,0.7
601,Lettuce,15,0.0,No,1.4,0.7
602,Beef,250,5.0,No,26.0,4.0
603,Cheese,402,19.0,No,25.0,2.5
604,Salmon,208,3.1,No,20.4,5.0
605,Avocado,160,2.1,No,2.0,1.75
606,Almonds,579,4.4,No,21.2,1.5
607,Tomato,18,0.0,No,0.9,0.35
608,Avocado,160,2.1,No,2.0,1.75
609,Rice,130,0.2,No,2.7,1.1
610,Tomato,18,0.0,No,0.9,0.35
611,Peanut Butter,588,10.0,No,25.0,3.5
612,Strawberry,32,0.0,No,0.7,0.9
613,Lettuce,15,0.0,No,1.4,0.7
614,Carrot,41,0.0,No,0.9,0.3
615,Tomato,18,0.0,No,0.9,0.35
616,Milk,42,1.0,No,3.4,0.9
617,Avocado,160,2.1,No,2.0,1.75
618,Chicken,165,1.0,No,31.0,3.0
619,Avocado,160,2.1,No,2.0,1.75
620,Milk,42,1.0,No,3.4,0.9
621,Avocado,160,2.1,No,2.0,1.75
622,Almonds,579,4.4,No,21.2,1.5
623,Peanut Butter,588,10.0,No,25.0,3.5
624,Lettuce,15,0.0,No,1.4,0.7
625,Pasta,158,0.3,Yes,5.8,1.5
626,Potato,77,0.0,No,2.0,0.8
627,Cheese,402,19.0,No,25.0,2.5
628,Rice,130,0.2,No,2.7,1.1
629,Spinach,23,0.0,No,2.9,0.6
630,Peanut Butter,588,10.0,No,25.0,3.5
631,Rice,130,0.2,No,2.7,1.1
632,Beef,250,5.0,No,26.0,4.0
633,Carrot,41,0.0,No,0.9,0.3
634,Salmon,208,3.1,No,20.4,5.0
635,Rice,130,0.2,No,2.7,1.1
636,Beef,250,5.0,No,26.0,4.0
637,Rice,130,0.2,No,2.7,1.1
638,Peanut Butter,588,10.0,No,25.0,3.5
639,Avocado,160,2.1,No,2.0,1.75
640,Almonds,579,4.4,No,21.2,1.5
641,Rice,130,0.2,No,2.7,1.1
642,Peanut Butter,588,10.0,No,25.0,3.5
643,Salmon,208,3.1,No,20.4,5.0
644,Bread,265,0.7,Yes,9.0,1.2
645,Pasta,158,0.3,Yes,5.8,1.5
646,Carrot,41,0.0,No,0.9,0.3
647,Bread,265,0.7,Yes,9.0,1.2
648,Apple,52,0.0,No,0.3,0.5
649,Rice,130,0.2,No,2.7,1.1
650,Lettuce,15,0.0,No,1.4,0.7
651,Egg,155,1.6,No,13.0,0.2
652,Beef,250,5.0,No,26.0,4.0
653,Apple,52,0.0,No,0.3,0.5
654,Rice,130,0.2,No,2.7,1.1
655,Lettuce,15,0.0,No,1.4,0.7
656,Strawberry,32,0.0,No,0.7,0.9
657,Avocado,160,2.1,No,2.0,1.75
658,Peanut Butter,588,10.0,No,25.0,3.5
659,Beef,250,5.0,No,26.0,4.0
660,Cheese,402,19.0,No,25.0,2.5
661,Potato,77,0.0,No,2.0,0.8
662,Strawberry,32,0.0,No,0.7,0.9
663,Rice,130,0.2,No,2.7,1.1
664,Banana,89,0.1,No,1.1,0.4
665,Potato,77,0.0,No,2.0,0.8
666,Chicken,165,1.0,No,31.0,3.0
667,Banana,89,0.1,No,1.1,0.4
668,Spinach,23,0.0,No,2.9,0.6
669,Peanut Butter,588,10.0,No,25.0,3.5
670,Peanut Butter,588,10.0,No,25.0,3.5
671,Salmon,208,3.1,No,20.4,5.0
672,Egg,155,1.6,No,13.0,0.2
673,Almonds,579,4.4,No,21.2,1.5
674,Spinach,23,0.0,No,2.9,0.6
675,Beef,250,5.0,No,26.0,4.0
676,Salmon,208,3.1,No,20.4,5.0
677,Bread,265,0.7,Yes,9.0,1.2
678,Egg,155,1.6,No,13.0,0.2
679,Chicken,165,1.0,No,31.0,3.0
680,Potato,77,0.0,No,2.0,0.8
681,Potato,77,0.0,No,2.0,0.8
682,Bread,265,0.7,Yes,9.0,1.2
683,Strawberry,32,0.0,No,0.7,0.9
684,Milk,42,1.0,No,3.4,0.9
685,Pasta,158,0.3,Yes,5.8,1.5
686,Beef,250,5.0,No,26.0,4.0
687,Beef,250,5.0,No,26.0,4.0
688,Pasta,158,0.3,Yes,5.8,1.5
689,Milk,42,1.0,No,3.4,0.9
690,Spinach,23,0.0,No,2.9,0.6
691,Chicken,165,1.0,No,31.0,3.0
692,Pasta,158,0.3,Yes,5.8,1.5
693,Egg,155,1.6,No,13.0,0.2
694,Egg,155,1.6,No,13.0,0.2
695,Avocado,160,2.1,No,2.0,1.75
696,Avocado,160,2.1,No,2.0,1.75
697,Milk,42,1.0,No,3.4,0.9
698,Salmon,208,3.1,No,20.4,5.0
699,Almonds,579,4.4,No,21.2,1.5
700,Almonds,579,4.4,No,21.2,1.5
701,Beef,250,5.0,No,26.0,4.0
702,Banana,89,0.1,No,1.1,0.4
703,Peanut Butter,588,10.0,No,25.0,3.5
704,Pasta,158,0.3,Yes,5.8,1.5
705,Banana,89,0.1,No,1.1,0.4
706,Peanut Butter,588,10.0,No,25.0,3.5
707,Apple,52,0.0,No,0.3,0.5
708,Tomato,18,0.0,No,0.9,0.35
709,Strawberry,32,0.0,No,0.7,0.9
710,Banana,89,0.1,No,1.1,0.4
711,Lettuce,15,0.0,No,1.4,0.7
712,Egg,155,1.6,No,13.0,0.2
713,Milk,42,1.0,No,3.4,0.9
714,Milk,42,1.0,No,3.4,0.9
715,Peanut Butter,588,10.0,No,25.0,3.5
716,Beef,250,5.0,No,26.0,4.0
717,Beef,250,5.0,No,26.0,4.0
718,Rice,130,0.2,No,2.7,1.1
719,Peanut Butter,588,10.0,No,25.0,3.5
720,Avocado,160,2.1,No,2.0,1.75
721,Banana,89,0.1,No,1.1,0.4
722,Potato,77,0.0,No,2.0,0.8
723,Banana,89,0.1,No,1.1,0.4
724,Banana,89,0.1,No,1.1,0.4
725,Bread,265,0.7,Yes,9.0,1.2
726,Almonds,579,4.4,No,21.2,1.5
727,Milk,42,1.0,No,3.4,0.9
728,Peanut Butter,588,10.0,No,25.0,3.5
729,Egg,155,1.6,No,13.0,0.2
730,Tomato,18,0.0,No,0.9,0.35
731,Banana,89,0.1,No,1.1,0.4
732,Strawberry,32,0.0,No,0.7,0.9
733,Salmon,208,3.1,No,20.4,5.0
734,Potato,77,0.0,No,2.0,0.8
735,Cheese,402,19.0,No,25.0,2.5
736,Egg,155,1.6,No,13.0,0.2
737,Beef,250,5.0,No,26.0,4.0
738,Peanut Butter,588,10.0,No,25.0,3.5
739,Almonds,579,4.4,No,21.2,1.5
740,Egg,155,1.6,No,13.0,0.2
741,Almonds,579,4.4,No,21.2,1.5
742,Apple,52,0.0,No,0.3,0.5
743,Spinach,23,0.0,No,2.9,0.6
744,Tomato,18,0.0,No,0.9,0.35
745,Bread,265,0.7,Yes,9.0,1.2
746,Carrot,41,0.0,No,0.9,0.3
747,Pasta,158,0.3,Yes,5.8,1.5
748,Milk,42,1.0,No,3.4,0.9
749,Almonds,579,4.4,No,21.2,1.5
750,Spinach,23,0.0,No,2.9,0.6
751,Rice,130,0.2,No,2.7,1.1
752,Strawberry,32,0.0,No,0.7,0.9
753,Apple,52,0.0,No,0.3,0.5
754,Egg,155,1.6,No,13.0,0.2
755,Pasta,158,0.3,Yes,5.8,1.5
756,Salmon,208,3.1,No,20.4,5.0
757,Chicken,165,1.0,No,31.0,3.0
758,Salmon,208,3.1,No,20.4,5.0
759,Salmon,208,3.1,No,20.4,5.0
760,Bread,265,0.7,Yes,9.0,1.2
761,Banana,89,0.1,No,1.1,0.4
762,Peanut Butter,588,10.0,No,25.0,3.5
763,Peanut Butter,588,10.0,No,25.0,3.5
764,Potato,77,0.0,No,2.0,0.8
765,Potato,77,0.0,No,2.0,0.8
766,Lettuce,15,0.0,No,1.4,0.7
767,Cheese,402,19.0,No,25.0,2.5
768,Egg,155,1.6,No,13.0,0.2
769,Carrot,41,0.0,No,0.9,0.3
770,Lettuce,15,0.0,No,1.4,0.7
771,Pasta,158,0.3,Yes,5.8,1.5
772,Almonds,579,4.4,No,21.2,1.5
773,Apple,52,0.0,No,0.3,0.5
774,Milk,42,1.0,No,3.4,0.9
775,Spinach,23,0.0,No,2.9,0.6
776,Chicken,165,1.0,No,31.0,3.0
777,Tomato,18,0.0,No,0.9,0.35
778,Strawberry,32,0.0,No,0.7,0.9
779,Potato,77,0.0,No,2.0,0.8
780,Rice,130,0.2,No,2.7,1.1
781,Cheese,402,19.0,No,25.0,2.5
782,Banana,89,0.1,No,1.1,0.4
783,Chicken,165,1.0,No,31.0,3.0
784,Milk,42,1.0,No,3.4,0.9
785,Beef,250,5.0,No,26.0,4.0
786,Banana,89,0.1,No,1.1,0.4
787,Potato,77,0.0,No,2.0,0.8
788,Bread,265,0.7,Yes,9.0,1.2
789,Avocado,160,2.1,No,2.0,1.75
790,Avocado,160,2.1,No,2.0,1.75
791,Bread,265,0.7,Yes,9.0,1.2
792,Lettuce,15,0.0,No,1.4,0.7
793,Pasta,158,0.3,Yes,5.8,1.5
794,Lettuce,15,0.0,No,1.4,0.7
795,Peanut Butter,588,10.0,No,25.0,3.5
796,Spinach,23,0.0,No,2.9,0.6
797,Lettuce,15,0.0,No,1.4,0.7
798,Cheese,402,19.0,No,25.0,2.5
799,Bread,265,0.7,Yes,9.0,1.2
800,Avocado,160,2.1,No,2.0,1.75
801,Avocado,160,2.1,No,2.0,1.75
802,Almonds,579,4.4,No,21.2,1.5
803,Rice,130,0.2,No,2.7,1.1
804,Avocado,160,2.1,No,2.0,1.75
805,Potato,77,0.0,No,2.0,0.8
806,Potato,77,0.0,No,2.0,0.8
807,Potato,77,0.0,No,2.0,0.8
808,Egg,155,1.6,No,13.0,0.2
809,Avocado,160,2.1,No,2.0,1.75
810,Carrot,41,0.0,No,0.9,0.3
811,Strawberry,32,0.0,No,0.7,0.9
812,Almonds,579,4.4,No,21.2,1.5
813,Strawberry,32,0.0,No,0.7,0.9
814,Apple,52,0.0,No,0.3,0.5
815,Peanut Butter,588,10.0,No,25.0,3.5
816,Carrot,41,0.0,No,0.9,0.3
817,Rice,130,0.2,No,2.7,1.1
818,Chicken,165,1.0,No,31.0,3.0
819,Chicken,165,1.0,No,31.0,3.0
820,Strawberry,32,0.0,No,0.7,0.9
821,Apple,52,0.0,No,0.3,0.5
822,Chicken,165,1.0,No,31.0,3.0
823,Spinach,23,0.0,No,2.9,0.6
824,Tomato,18,0.0,No,0.9,0.35
825,Carrot,41,0.0,No,0.9,0.3
826,Tomato,18,0.0,No,0.9,0.35
827,Egg,155,1.6,No,13.0,0.2
828,Almonds,579,4.4,No,21.2,1.5
829,Potato,77,0.0,No,2.0,0.8
830,Cheese,402,19.0,No,25.0,2.5
831,Almonds,579,4.4,No,21.2,1.5
832,Chicken,165,1.0,No,31.0,3.0
833,Milk,42,1.0,No,3.4,0.9
834,Apple,52,0.0,No,0.3,0.5
835,Apple,52,0.0,No,0.3,0.5
836,Strawberry,32,0.0,No,0.7,0.9
837,Tomato,18,0.0,No,0.9,0.35
838,Beef,250,5.0,No,26.0,4.0
839,Salmon,208,3.1,No,20.4,5.0
840,Milk,42,1.0,No,3.4,0.9
841,Almonds,579,4.4,No,21.2,1.5
842,Bread,265,0.7,Yes,9.0,1.2
843,Tomato,18,0.0,No,0.9,0.35
844,Almonds,579,4.4,No,21.2,1.5
845,Salmon,208,3.1,No,20.4,5.0
846,Chicken,165,1.0,No,31.0,3.0
847,Carrot,41,0.0,No,0.9,0.3
848,Apple,52,0.0,No,0.3,0.5
849,Apple,52,0.0,No,0.3,0.5
850,Spinach,23,0.0,No,2.9,0.6
851,Pasta,158,0.3,Yes,5.8,1.5
852,Milk,42,1.0,No,3.4,0.9
853,Rice,130,0.2,No,2.7,1.1
854,Beef,250,5.0,No,26.0,4.0
855,Salmon,208,3.1,No,20.4,5.0
856,Rice,130,0.2,No,2.7,1.1
857,Egg,155,1.6,No,13.0,0.2
858,Rice,130,0.2,No,2.7,1.1
859,Apple,52,0.0,No,0.3,0.5
860,Lettuce,15,0.0,No,1.4,0.7
861,Peanut Butter,588,10.0,No,25.0,3.5
862,Banana,89,0.1,No,1.1,0.4
863,Bread,265,0.7,Yes,9.0,1.2
864,Pasta,158,0.3,Yes,5.8,1.5
865,Tomato,18,0.0,No,0.9,0.35
866,Spinach,23,0.0,No,2.9,0.6
867,Potato,77,0.0,No,2.0,0.8
868,Tomato,18,0.0,No,0.9,0.35
869,Milk,42,1.0,No,3.4,0.9
870,Rice,130,0.2,No,2.7,1.1
871,Potato,77,0.0,No,2.0,0.8
872,Milk,42,1.0,No,3.4,0.9
873,Banana,89,0.1,No,1.1,0.4
874,Carrot,41,0.0,No,0.9,0.3
875,Banana,89,0.1,No,1.1,0.4
876,Tomato,18,0.0,No,0.9,0.35
877,Salmon,208,3.1,No,20.4,5.0
878,Lettuce,15,0.0,No,1.4,0.7
879,Cheese,402,19.0,No,25.0,2.5
880,Cheese,402,19.0,No,25.0,2.5
881,Carrot,41,0.0,No,0.9,0.3
882,Salmon,208,3.1,No,20.4,5.0
883,Spinach,23,0.0,No,2.9,0.6
884,Chicken,165,1.0,No,31.0,3.0
885,Strawberry,32,0.0,No,0.7,0.9
886,Apple,52,0.0,No,0.3,0.5
887,Avocado,160,2.1,No,2.0,1.75
888,Pasta,158,0.3,Yes,5.8,1.5
889,Banana,89,0.1,No,1.1,0.4
890,Carrot,41,0.0,No,0.9,0.3
891,Lettuce,15,0.0,No,1.4,0.7
892,Apple,52,0.0,No,0.3,0.5
893,Cheese,402,19.0,No,25.0,2.5
894,Egg,155,1.6,No,13.0,0.2
895,Bread,265,0.7,Yes,9.0,1.2
896,Almonds,579,4.4,No,21.2,1.5
897,Apple,52,0.0,No,0.3,0.5
898,Carrot,41,0.0,No,0.9,0.3
899,Rice,130,0.2,No,2.7,1.1
900,Tomato,18,0.0,No,0.9,0.35
901,Lettuce,15,0.0,No,1.4,0.7
902,Banana,89,0.1,No,1.1,0.4
903,Peanut Butter,588,10.0,No,25.0,3.5
904,Beef,250,5.0,No,26.0,4.0
905,Beef,250,5.0,No,26.0,4.0
906,Pasta,158,0.3,Yes,5.8,1.5
907,Pasta,158,0.3,Yes,5.8,1.5
908,Tomato,18,0.0,No,0.9,0.35
909,Pasta,158,0.3,Yes,5.8,1.5
910,Peanut Butter,588,10.0,No,25.0,3.5
911,Carrot,41,0.0,No,0.9,0.3
912,Rice,130,0.2,No,2.7,1.1
913,Tomato,18,0.0,No,0.9,0.35
914,Milk,42,1.0,No,3.4,0.9
915,Tomato,18,0.0,No,0.9,0.35
916,Tomato,18,0.0,No,0.9,0.35
917,Bread,265,0.7,Yes,9.0,1.2
918,Pasta,158,0.3,Yes,5.8,1.5
919,Rice,130,0.2,No,2.7,1.1
920,Strawberry,32,0.0,No,0.7,0.9
921,Chicken,165,1.0,No,31.0,3.0
922,Chicken,165,1.0,No,31.0,3.0
923,Pasta,158,0.3,Yes,5.8,1.5
924,Almonds,579,4.4,No,21.2,1.5
925,Avocado,160,2.1,No,2.0,1.75
926,Chicken,165,1.0,No,31.0,3.0
927,Egg,155,1.6,No,13.0,0.2
928,Peanut Butter,588,10.0,No,25.0,3.5
929,Strawberry,32,0.0,No,0.7,0.9
930,Tomato,18,0.0,No,0.9,0.35
931,Salmon,208,3.1,No,20.4,5.0
932,Egg,155,1.6,No,13.0,0.2
933,Chicken,165,1.0,No,31.0,3.0
934,Carrot,41,0.0,No,0.9,0.3
935,Peanut Butter,588,10.0,No,25.0,3.5
936,Egg,155,1.6,No,13.0,0.2
937,Tomato,18,0.0,No,0.9,0.35
938,Egg,155,1.6,No,13.0,0.2
939,Carrot,41,0.0,No,0.9,0.3
940,Pasta,158,0.3,Yes,5.8,1.5
941,Egg,155,1.6,No,13.0,0.2
942,Cheese,402,19.0,No,25.0,2.5
943,Banana,89,0.1,No,1.1,0.4
944,Chicken,165,1.0,No,31.0,3.0
945,Bread,265,0.7,Yes,9.0,1.2
946,Egg,155,1.6,No,13.0,0.2
947,Tomato,18,0.0,No,0.9,0.35
948,Potato,77,0.0,No,2.0,0.8
949,Milk,42,1.0,No,3.4,0.9
950,Tomato,18,0.0,No,0.9,0.35
951,Salmon,208,3.1,No,20.4,5.0
952,Rice,130,0.2,No,2.7,1.1
953,Avocado,160,2.1,No,2.0,1.75
954,Lettuce,15,0.0,No,1.4,0.7
955,Avocado,160,2.1,No,2.0,1.75
956,Peanut Butter,588,10.0,No,25.0,3.5
957,Lettuce,15,0.0,No,1.4,0.7
958,Strawberry,32,0.0,No,0.7,0.9
959,Rice,130,0.2,No,2.7,1.1
960,Potato,77,0.0,No,2.0,0.8
961,Carrot,41,0.0,No,0.9,0.3
962,Tomato,18,0.0,No,0.9,0.35
963,Chicken,165,1.0,No,31.0,3.0
964,Beef,250,5.0,No,26.0,4.0
965,Apple,52,0.0,No,0.3,0.5
966,Egg,155,1.6,No,13.0,0.2
967,Apple,52,0.0,No,0.3,0.5
968,Spinach,23,0.0,No,2.9,0.6
969,Chicken,165,1.0,No,31.0,3.0
970,Potato,77,0.0,No,2.0,0.8
971,Almonds,579,4.4,No,21.2,1.5
972,Avocado,160,2.1,No,2.0,1.75
973,Egg,155,1.6,No,13.0,0.2
974,Salmon,208,3.1,No,20.4,5.0
975,Beef,250,5.0,No,26.0,4.0
976,Spinach,23,0.0,No,2.9,0.6
977,Cheese,402,19.0,No,25.0,2.5
978,Carrot,41,0.0,No,0.9,0.3
979,Strawberry,32,0.0,No,0.7,0.9
980,Milk,42,1.0,No,3.4,0.9
981,Bread,265,0.7,Yes,9.0,1.2
982,Strawberry,32,0.0,No,0.7,0.9
983,Potato,77,0.0,No,2.0,0.8
984,Carrot,41,0.0,No,0.9,0.3
985,Tomato,18,0.0,No,0.9,0.35
986,Chicken,165,1.0,No,31.0,3.0
987,Avocado,160,2.1,No,2.0,1.75
988,Banana,89,0.1,No,1.1,0.4
989,Apple,52,0.0,No,0.3,0.5
990,Almonds,579,4.4,No,21.2,1.5
991,Banana,89,0.1,No,1.1,0.4
992,Apple,52,0.0,No,0.3,0.5
993,Cheese,402,19.0,No,25.0,2.5
994,Beef,250,5.0,No,26.0,4.0
995,Avocado,160,2.1,No,2.0,1.75
996,Avocado,160,2.1,No,2.0,1.75
997,Almonds,579,4.4,No,21.2,1.5
998,Tomato,18,0.0,No,0.9,0.35
999,Egg,155,1.6,No,13.0,0.2
1000,Egg,155,1.6,No,13.0,0.2
